[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /portal/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] HEAD   /portal/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] GET    /                         --> eric-portal/router.indexPage (4 handlers)
[GIN-debug] GET    /favicon.ico              --> eric-portal/router.favicon (4 handlers)
[GIN-debug] GET    /api/v1/user/login        --> eric-portal/controller.(*User).Login.func1 (6 handlers)
[GIN-debug] GET    /api/v1/resources/login   --> eric-portal/controller.(*User).Login.func1 (6 handlers)
[GIN-debug] Listening and serving HTTP on 0.0.0.0:3002
[GIN] 2020/11/29 - 20:54:29 | 200 |     33.1828ms |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:54:29 | 200 |       977.1µs |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:54:29 | 200 |            0s |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:54:30 | 200 |            0s |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:54:42 | 304 |            0s |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:55:21 | 200 |            0s |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:55:31 | 200 |            0s |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:56:13 | 200 |            0s |             ::1 | GET      "/portal/?_=1"
[GIN] 2020/11/29 - 20:56:22 | 304 |      5.8561ms |             ::1 | GET      "/portal/assets/ico/favicon.ico"
[GIN] 2020/11/29 - 20:56:22 | 304 |            0s |             ::1 | GET      "/portal/assets/ico/favicon.ico"
[GIN] 2020/11/29 - 20:56:23 | 304 |            0s |             ::1 | GET      "/portal/assets/ico/favicon.ico"
[GIN] 2020/11/29 - 20:56:23 | 304 |       975.2µs |             ::1 | GET      "/portal/assets/ico/favicon.ico"
[GIN] 2020/11/29 - 20:57:01 | 200 |      1.9524ms |             ::1 | GET      "/api/v1/user/login"
